ГБОУ Школа № 1944	1	30	0	1	0	125368, г. Москва, ул. Барышиха, д.17, корп.1	schusz1944.mskobr.ru	https://www.s-cool.ru/upload/iblock/fac/fac2040b731f85110c71171ae99ea246.jpg	0	0	0	0	0	0	0	0	0	0	0	0
ГБОУ "Курчатовская школа"	4	31	2	2	1	123098, г. Москва, ул. Маршала Василевского, д.7, стр. 1	kurchat.mskobr.ru	https://avatars.mds.yandex.net/get-altay/1349040/2a00000166276c42d659901d5e45b67b1704/L_height	1	0	0	0	0	0	0	0	1	0	1	0
ГБОУ Школа № 444	3	32	2	1	1	105043, г. Москва, ул. Нижняя Первомайская, д. 14	schv444.mskobr.ru	https://detinform.ru/images/detailed/8/444_yqcg-fo.jpg	0	0	1	0	0	0	0	0	1	1	1	1
ГБОУ Школа № 1253	1	35	0	1	0	119021, г. Москва, Бульвар Зубовский, д. 5, стр. 1	sch1253c.mskobr.ru	https://avatars.mds.yandex.net/get-altay/4388821/2a0000017794914f3e05a1c0ed78670f3791/orig	0	0	0	0	0	0	0	0	0	0	1	0
ГБОУ Школа № 1576	1	36	0	1	0	127299, г. Москва, ул. Большая Академическая, д. 22 А	gym1576s.mskobr.ru	https://avatars.mds.yandex.net/get-altay/1546430/2a0000016cb983cdae853cfef09ddd2254cd/orig	0	0	0	0	0	0	0	0	0	1	1	0
ГБОУ Школа № 1517	4	37	1	3	1	123103, г. Москва, ул. Живописная, д. 11, корп. 1	1517.mskobr.ru	https://avatars.mds.yandex.net/get-altay/1464052/2a000001679f59672a378a7b197065d213c2/L_height	1	0	0	0	0	0	0	0	0	1	1	1
ГБОУ Школа № 192	1	38	0	1	0	119334, г. Москва, Ленинский проспект, д. 34А	sch192uz.mskobr.ru	https://www.s-cool.ru/upload/iblock/770/770d581ceb40a54e0bb6e8a4ead8f09f.jpg	0	0	0	0	0	0	0	0	0	0	0	0
ГБОУ Инженерная школа № 1581	3	40	0	3	0	105120, г. Москва, Большой Полуярославский переулок, д. 7	lycc1581.mskobr.ru	https://s-cool.ru/upload/iblock/340/3408e5509776caaf6602008cb1aca57c.jpg	0	0	0	0	0	0	0	0	0	1	1	0
ГБОУ Школа № 1574	2	42	0	2	0	125047, г. Москва, ул. 1-я Миусская, д. 4	lyc1574.mskobr.ru	https://smapse.ru/storage/2020/12/converted/825_585_licei-no1574-moscva-smapse3.png	0	0	0	0	0	0	0	0	0	0	1	0
ГБОУ Школа № 1223	1	44	0	1	0	125239, г. Москва, ул. Михалковская, д. 13А	sch1223s.mskobr.ru	https://smapse.ru/storage/2020/12/shkola-no1223-moscva-smapse.jpg	0	0	0	0	0	0	0	0	0	0	0	1
